years_experience,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,job_posting_month,job_posting_year,hiring_urgency,job_openings,total_skills,job_title_business analyst,job_title_data analyst,job_title_data engineer,job_title_data scientist,job_title_machine learning engineer,company_size_medium,company_size_small,company_industry_education,company_industry_finance,company_industry_healthcare,company_industry_retail,company_industry_technology,country_canada,country_germany,country_india,country_singapore,country_uk,country_usa,remote_type_onsite,remote_type_remote,education_level_master,education_level_phd,salary
1,1,0,1,1,0,7,2026,3,9,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,171544
5,1,1,1,1,1,11,2022,3,2,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,143017
6,1,0,0,0,0,8,2020,1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,155137
4,1,0,1,0,0,9,2026,1,3,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,131254
10,0,1,1,0,1,5,2024,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,127570
0,0,0,1,1,1,11,2020,3,2,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,154945
14,1,0,0,1,1,4,2026,2,1,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,136276
12,1,1,0,1,0,7,2025,3,7,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,90122
2,0,0,1,0,0,7,2020,1,5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,93905
12,1,0,1,1,0,4,2026,3,9,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84361
4,1,1,1,1,1,6,2024,3,8,5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,110876
6,1,1,1,0,1,7,2022,3,8,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,104352
3,1,0,1,0,1,6,2022,1,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,97551
12,1,0,1,1,1,1,2023,3,4,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,118915
13,0,0,1,0,0,6,2021,2,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,108744
3,0,0,0,0,0,8,2025,3,9,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,86994
4,1,0,0,1,1,1,2025,1,3,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,104762
11,1,0,0,0,0,10,2025,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,112546
7,1,1,0,0,1,1,2020,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,125142
2,1,1,0,0,0,4,2026,3,8,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,100567
5,0,0,0,0,0,4,2025,3,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,97336
5,0,0,0,1,0,8,2024,3,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,107863
14,0,0,1,1,1,11,2025,3,5,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,115779
13,0,1,1,0,1,1,2026,2,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,180984
9,0,1,0,1,0,8,2020,2,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,104146
13,1,1,0,0,0,3,2026,2,6,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,49662
4,1,0,0,0,1,11,2025,3,9,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,81625
10,0,1,0,0,1,4,2025,3,8,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,146990
5,1,1,1,0,0,4,2020,3,7,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,134944
6,0,1,0,1,0,8,2022,1,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88058
13,1,1,0,1,0,12,2020,2,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,86645
6,0,0,1,1,1,12,2020,3,3,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,131305
6,0,1,0,0,0,9,2026,3,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,112221
7,1,1,1,1,0,5,2025,3,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,105619
6,0,0,1,0,0,12,2021,1,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,111308
1,0,0,0,1,1,6,2025,1,5,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,135804
11,1,0,1,1,1,1,2021,3,7,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,114223
6,0,1,1,0,1,10,2024,1,4,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76809
9,1,0,1,1,0,10,2023,3,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,107141
5,0,1,1,1,0,10,2024,3,9,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,83646
1,1,1,0,0,0,10,2024,1,5,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,75490
7,0,1,1,0,0,6,2024,3,8,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,114853
0,1,0,0,0,1,2,2024,3,9,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,105153
7,1,0,0,0,0,12,2023,1,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,46252
10,0,0,0,1,0,12,2025,3,7,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,67982
5,1,0,1,0,1,10,2026,3,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,98044
9,0,1,0,0,0,2,2022,3,9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,113007
10,1,0,0,1,0,12,2023,3,8,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,117138
6,1,0,0,1,0,6,2020,1,4,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,90468
6,0,1,1,1,0,2,2022,3,7,3,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,109996
12,1,0,1,0,1,9,2021,3,8,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,96771
2,0,1,1,1,1,5,2020,3,4,4,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,110145
8,1,1,1,0,1,12,2025,2,5,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,129130
6,1,1,0,1,1,3,2024,1,6,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,124076
0,1,0,1,1,0,7,2020,3,5,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,108245
9,0,1,1,1,0,3,2025,3,8,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,83194
4,1,0,0,1,0,9,2021,3,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,81218
10,1,1,1,0,1,5,2021,3,8,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,115370
0,1,1,0,1,1,3,2021,1,3,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,112745
10,0,1,0,0,0,10,2023,3,9,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,104908
9,0,0,0,0,1,7,2026,2,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,108741
1,1,0,1,0,0,8,2026,3,9,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,122064
6,1,0,1,1,0,6,2023,3,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,190084
0,1,1,0,1,1,2,2025,3,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,136353
12,0,0,1,0,0,2,2024,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,89645
6,0,0,0,1,1,6,2022,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,163155
4,0,1,1,0,0,1,2021,1,5,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,65626
7,1,1,0,1,1,9,2020,3,8,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,115179
12,1,1,0,1,1,9,2025,2,3,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,127725
11,0,1,1,0,0,8,2022,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,90463
14,0,1,1,0,0,6,2020,3,9,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,87043
14,1,1,1,1,1,8,2021,3,1,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,93905
13,0,0,1,1,1,10,2025,3,7,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,132014
12,0,0,1,0,1,9,2021,3,9,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,119631
10,0,0,0,1,1,10,2026,2,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,155021
1,1,1,0,1,0,10,2022,3,9,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,86266
2,1,1,1,1,0,8,2020,3,6,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,99644
12,1,0,0,0,0,5,2026,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,102005
2,1,0,1,1,0,4,2021,3,2,3,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,145631
9,1,0,1,0,0,1,2022,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,172958
13,1,0,0,0,1,6,2023,3,9,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,142365
5,0,0,0,0,1,5,2026,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,89444
14,0,1,0,1,1,5,2023,3,9,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,149472
4,0,0,1,0,0,12,2023,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,89847
8,0,0,1,1,0,3,2025,3,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,126262
13,1,1,1,0,1,11,2025,3,8,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,75370
7,0,0,1,0,1,4,2021,1,6,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,166294
5,0,0,1,0,1,10,2022,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,185238
7,0,1,0,1,0,3,2026,1,4,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,128072
1,1,1,0,0,0,9,2024,3,9,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,75208
13,1,1,0,1,1,7,2022,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,71000
4,0,0,1,1,0,9,2020,3,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127875
2,1,1,1,1,1,5,2021,3,9,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,139218
11,0,1,1,0,0,7,2025,2,4,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,133234
6,0,0,1,0,0,3,2026,3,9,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,68906
12,1,1,0,1,1,10,2023,2,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,142311
13,0,0,0,1,1,7,2026,3,7,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,102052
0,1,1,0,1,0,5,2025,3,7,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,117285
8,0,1,1,1,1,11,2024,3,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,153225
1,0,1,1,0,0,3,2023,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,134776
2,1,0,1,0,1,9,2025,3,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,111100
9,1,0,0,0,0,3,2023,3,7,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,72349
0,1,0,0,1,0,7,2023,1,6,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,127472
7,1,1,1,0,1,6,2021,1,3,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,128533
13,1,1,1,1,1,9,2026,3,4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,153374
13,0,0,1,0,1,4,2023,2,6,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,119732
7,0,1,0,0,1,2,2024,1,6,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,89715
8,0,1,0,0,0,3,2023,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,70962
2,1,0,0,1,1,10,2023,1,5,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,128435
7,1,1,1,1,0,9,2026,3,7,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,132693
13,1,1,1,1,0,6,2020,3,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,133984
12,1,0,0,0,1,5,2021,3,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,125772
14,1,1,1,0,1,11,2025,2,6,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,72719
1,1,0,1,1,0,9,2026,3,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,140175
2,0,1,1,1,0,8,2020,3,4,3,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,101638
1,0,0,1,0,1,7,2024,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,96549
10,0,1,1,0,0,8,2026,3,7,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,92993
4,0,1,0,0,1,3,2020,1,4,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88656
13,1,1,1,1,1,3,2020,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,129839
12,0,0,1,0,1,1,2021,3,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98616
11,1,0,1,0,0,11,2025,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,145775
4,1,1,0,0,0,8,2020,3,8,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,49940
3,0,1,1,0,1,4,2026,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,79866
4,0,1,1,1,1,12,2020,3,6,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,141511
3,1,1,1,0,0,7,2025,3,9,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,118569
12,0,1,0,1,1,10,2026,2,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,143714
13,1,1,0,1,1,4,2024,2,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,92461
9,1,1,0,0,0,5,2024,3,9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,112697
11,1,0,1,1,1,2,2021,3,9,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142003
2,0,1,1,0,1,1,2022,1,5,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,121724
4,0,1,1,1,1,12,2024,3,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,141272
8,1,0,1,1,0,9,2023,3,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,102159
13,1,0,1,0,0,3,2026,2,4,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,127634
3,1,1,1,1,0,5,2025,3,5,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,152909
6,0,1,0,1,0,10,2026,3,8,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64431
14,1,1,0,0,0,12,2025,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,130663
6,0,0,0,1,0,11,2023,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,101136
0,1,1,1,1,0,12,2022,3,6,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,77125
2,0,0,0,1,1,1,2022,1,6,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,97757
9,0,0,0,1,0,5,2021,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,112096
